Period,available_feb,available_mar
2019-03,0.5206617965702965,0.6975381250128976
2019-04,0.5010152912771622,0.6135413442291422
2019-05,0.5309010809936434,0.5426356434338573
2019-06,0.5118409376999113,0.5363234899605853
2019-07,0.4797211343942901,0.5005202269427631
2019-08,0.5368063058295374,0.46475537351495677
2019-09,0.5636785736395715,0.5596153449307661
2019-10,0.5617971694062622,0.5690224326650597
2019-11,0.5752533069192514,0.5605068201985184
2019-12,0.5838623805025731,0.5875748637524638
2020-01,0.6047094018288823,0.6084019147546745
2020-02,0.6018943849439733,0.6099300439546833
